id,project_id,funnel_id,nome_produto,nome_oferta,anotacoes,nome_posicao,id_produto_visual,origem,moeda,created_at,updated_at
01cd42b4-6b93-4771-94b3-02aae21799f7,1e1a89a4-81d5-4aa7-8431-538828def2a3,4dc90fd4-6174-4a02-831d-1ba0fe112165,Técnicas Avançadas de Maquiagem Alice Salazar,147 - Orderbump - Maquiagem para Festas,,OB4,ID 4554678,manual,BRL,2025-12-08T18:25:57.525226+00:00,2025-12-09T20:46:16.757825+00:00
02af07fc-b0d6-4fa7-8073-cf3cc99d5392,1e1a89a4-81d5-4aa7-8431-538828def2a3,626ec2cd-f941-41d3-b3aa-321b9d5f8352,Combo 3 em 1 Alice Salazar Maquiagem do Zero ao Avançado,Oferta de Pré-lançamento,,,ID 1020671,manual,BRL,2025-12-02T20:32:10.174689+00:00,2026-01-29T22:40:33.548626+00:00
03c4e06b-132b-4599-a4aa-4cf28255dd41,1e1a89a4-81d5-4aa7-8431-538828def2a3,b89db38d-3d61-454a-ad2f-26ca8677fa7c,Maquiagem 35+ com Alice Salazar,97 - Principal Orderbump - Lanç Mar 25,,OB1,ID 3807269,manual,BRL,2025-12-08T18:22:48.881718+00:00,2025-12-20T14:30:40.387933+00:00
041ad75c-2b03-4f22-a5c6-6967b6ceded6,1e1a89a4-81d5-4aa7-8431-538828def2a3,626ec2cd-f941-41d3-b3aa-321b9d5f8352,Combo 5 em 1 Essencial Plus 2.0 Alice Salazar | Boleto Parcelado,Oferta Principal,,,ID 4559167,manual,BRL,2025-12-02T20:32:10.174689+00:00,2026-01-29T22:40:33.548626+00:00
0466f92d-91a8-45ae-bc64-545d45f036e3,1e1a89a4-81d5-4aa7-8431-538828def2a3,626ec2cd-f941-41d3-b3aa-321b9d5f8352,e-Book Lista Secreta de Lojas de Roupas por Alice Salazar,Perpétuo - Instagram,,,ID 4552252,manual,BRL,2025-12-02T20:32:10.174689+00:00,2026-01-29T22:40:33.548626+00:00
047e5651-1289-448b-9346-3ca79d8498e9,1e1a89a4-81d5-4aa7-8431-538828def2a3,626ec2cd-f941-41d3-b3aa-321b9d5f8352,Coleção de Livros Digitais Alice Salazar,Oferta Principal,,,ID 4445568,manual,BRL,2025-12-02T20:32:10.174689+00:00,2026-01-29T22:40:33.548626+00:00
04e9550e-15c3-4d08-ad25-298e5ad3d06a,1e1a89a4-81d5-4aa7-8431-538828def2a3,626ec2cd-f941-41d3-b3aa-321b9d5f8352,Aula Especial de Pele Ultrafix Alice Salazar,"29,90 - Principal Orderbump - Lanç Out 25",,,ID 1528575,manual,BRL,2025-12-02T20:32:10.174689+00:00,2026-01-29T22:40:33.548626+00:00
0514f0be-ea28-4c65-a15b-ccff285efaa2,1e1a89a4-81d5-4aa7-8431-538828def2a3,626ec2cd-f941-41d3-b3aa-321b9d5f8352,* Make Prática em 13 Minutos,Auto-importado de vendas existentes,,,,manual,BRL,2025-12-10T14:10:31.901274+00:00,2025-12-23T11:57:31.882379+00:00
059c0b75-ec38-446f-b8b7-01a65eac35ac,1e1a89a4-81d5-4aa7-8431-538828def2a3,626ec2cd-f941-41d3-b3aa-321b9d5f8352,Maquiagens para o Calor com Alice Salazar,Auto-importado,,,,manual,BRL,2025-12-18T15:33:45.053638+00:00,2026-01-29T22:40:33.548626+00:00
0668f3df-c56e-4012-b9ab-92df1b646608,1e1a89a4-81d5-4aa7-8431-538828def2a3,626ec2cd-f941-41d3-b3aa-321b9d5f8352,Maquiagem 35+ com Alice Salazar,Importado das vendas,,,,manual,BRL,2025-12-05T12:47:32.04385+00:00,2026-01-29T22:40:33.548626+00:00
06ab062a-e16a-4117-937b-2f0d21d8c111,1e1a89a4-81d5-4aa7-8431-538828def2a3,626ec2cd-f941-41d3-b3aa-321b9d5f8352,Curso de Formação em Coloração Pessoal,Auto-importado de vendas existentes,,,,manual,BRL,2025-12-10T14:10:31.901274+00:00,2025-12-23T11:57:31.882379+00:00
07164711-df31-4c66-8ab6-44b03d397e51,1e1a89a4-81d5-4aa7-8431-538828def2a3,626ec2cd-f941-41d3-b3aa-321b9d5f8352,Maquiagem para Pele Oleosa com Alice Salazar,Auto-importado de vendas existentes,,,,manual,BRL,2025-12-10T14:10:31.901274+00:00,2025-12-23T11:57:31.882379+00:00
08e88256-305d-434d-ac4a-fd018b4d946f,1e1a89a4-81d5-4aa7-8431-538828def2a3,626ec2cd-f941-41d3-b3aa-321b9d5f8352,Maquiagem para Pele Oleosa com Alice Salazar,Auto-importado de vendas existentes,,,,manual,BRL,2025-12-10T14:10:31.901274+00:00,2025-12-23T11:57:31.882379+00:00
094463f7-7d5d-4c2d-916e-4c222dfd8394,1e1a89a4-81d5-4aa7-8431-538828def2a3,626ec2cd-f941-41d3-b3aa-321b9d5f8352,Vista-se Bem Gastando Pouco com Alice Salazar,Auto-importado de vendas existentes,,,,manual,BRL,2025-12-10T14:10:31.901274+00:00,2025-12-23T11:57:31.882379+00:00
09dbaee8-a5a9-49df-98ff-ba898176e90e,1e1a89a4-81d5-4aa7-8431-538828def2a3,626ec2cd-f941-41d3-b3aa-321b9d5f8352,Combo 3 em 1 Alice Salazar - Maquiagem do Zero ao Avançado,Oferta Especial Combo 3 em 1,,,ID 1795037,manual,BRL,2025-12-02T20:32:10.174689+00:00,2026-01-29T22:40:33.548626+00:00
09f5763a-56c8-4a91-8001-b316b3a0e17e,1e1a89a4-81d5-4aa7-8431-538828def2a3,626ec2cd-f941-41d3-b3aa-321b9d5f8352,Maquiagem 35+ com Alice Salazar,Importado das vendas,,,,manual,BRL,2025-12-05T12:47:32.04385+00:00,2026-01-29T22:40:33.548626+00:00
0bcb151a-8e3c-4e5c-8d08-dd4d43098b12,1e1a89a4-81d5-4aa7-8431-538828def2a3,6b86c741-93b7-4b85-848d-45288ad44c8e,Black Alice Salazar - 10 Cursos com 10 Anos de Acesso,397 - Oferta Principal 2025,,FRONT,ID 6610142,manual,BRL,2025-12-02T20:32:10.174689+00:00,2026-01-29T22:11:59.341548+00:00
0cfd260e-2d97-47d8-9df7-ea65b5b9cfdb,1e1a89a4-81d5-4aa7-8431-538828def2a3,626ec2cd-f941-41d3-b3aa-321b9d5f8352,e-Book Lista Secreta de Lojas de Roupas por Alice Salazar,97 - Principal Downsell - Lançamento Março 25,,,ID 4552252,manual,BRL,2025-12-02T20:32:10.174689+00:00,2026-01-29T22:40:33.548626+00:00
0d392c1d-34b2-4e96-a0f2-2bf1faede98e,1e1a89a4-81d5-4aa7-8431-538828def2a3,626ec2cd-f941-41d3-b3aa-321b9d5f8352,Combo 5 em 1 Moda e Make 2.0 por Alice Salazar,297 - Principal Lançamento - Lanç Jul 25,"[20/12/2025] Sincronizado com Hotmart:
Valor: R$ 32.18 → R$ 297",,ID 5851636,manual,BRL,2025-12-02T20:32:10.174689+00:00,2026-01-29T22:40:33.548626+00:00
0d9bfebe-13f3-4501-9123-78fd7d5cdd2b,1e1a89a4-81d5-4aa7-8431-538828def2a3,fb7fd4f9-0c4d-4a3e-8421-1241dce11202,e-Book Guia do Esfumado Perfeito Alice Salazar,"19,90 - Principal Orderbump - Lanç Dez 25","[20/12/2025] Sincronizado com Hotmart:
Nome: Auto-importado → 19,90 - Principal Orderbump - Lanç Dez 25",OB4,ID 2931102,manual,BRL,2025-12-19T10:41:20.250164+00:00,2026-01-29T22:12:57.518765+00:00
0dbfac1c-8c15-430d-8219-7c57d20591d3,1e1a89a4-81d5-4aa7-8431-538828def2a3,626ec2cd-f941-41d3-b3aa-321b9d5f8352,Maquiagem para Festas por Alice Salazar,Auto-importado de vendas existentes,,,,manual,BRL,2025-12-10T14:10:31.901274+00:00,2025-12-23T11:57:31.882379+00:00
0e2b81c4-6c4c-499d-8dd1-41516d93c20b,1e1a89a4-81d5-4aa7-8431-538828def2a3,626ec2cd-f941-41d3-b3aa-321b9d5f8352,+ 1 ANO DE ACESSO | Combo 5 em 1 Prático Alice Salazar,Oferta Principal,,,ID 4593904,manual,BRL,2025-12-02T20:32:10.174689+00:00,2026-01-29T22:40:33.548626+00:00
0e48189e-97ab-4a9e-b8c3-eaa9e9708879,1e1a89a4-81d5-4aa7-8431-538828def2a3,4dc90fd4-6174-4a02-831d-1ba0fe112165,Combo 5 em 1 Pele e Olhos Alice Salazar • Upsell,297 - Perpétuo Upsell Maquiagem para Festas,,US1,ID 6017501,manual,BRL,2025-12-02T20:32:10.174689+00:00,2026-01-29T22:12:35.260487+00:00
0e500140-8d26-4a42-b296-a941cf30f2bd,1e1a89a4-81d5-4aa7-8431-538828def2a3,626ec2cd-f941-41d3-b3aa-321b9d5f8352,[ACESSO VITALÍCIO] Combo 5 em 1 Moda e Make Alice Salazar,Importado das vendas,,,,manual,BRL,2025-12-05T12:47:32.04385+00:00,2026-01-29T22:40:33.548626+00:00
