id,nome_produto,nome_oferta,anotacoes,nome_posicao,id_produto_visual
002450ee-da52-4e11-b9c5-e83f886c387a,Lips Sense Technique - James Olaya,Oferta Principal,,,ID 5193848
00d02f2b-68c9-4260-9616-c183cbfdd139,Profissão Remove [2024],Importado das vendas,,,
00ee4004-6845-4064-a83f-4657a1250efa,Receitas de Doces Finos das Flores e Suculentas - Chef Natália Canezin,"87,30 - Natflix - Flores e Suculentas","[11/12/2025] Sincronizado com Hotmart:
Nome: Auto-importado → 87,30 - Natflix - Flores e Suculentas
Valor: R$ 99 → R$ 87.3",,ID 3922286
01cd42b4-6b93-4771-94b3-02aae21799f7,Técnicas Avançadas de Maquiagem Alice Salazar,147 - Orderbump - Maquiagem para Festas,,OB4,ID 4554678
01d34307-1069-41a1-b31f-86940c778274,Curso de Petit Fours para Eventos,Auto-importado,,,
02af07fc-b0d6-4fa7-8073-cf3cc99d5392,Combo 3 em 1 Alice Salazar Maquiagem do Zero ao Avançado,Oferta de Pré-lançamento,,,ID 1020671
02c6e959-823a-4ca5-bd9d-bdc7cbe6801e,Formação Doceria de Luxo,Auto-importado,,,
02eeaadc-0acf-4f6f-bc7b-1cc392d83a80,Férias e Décimo Terceiro NA PRÁTICA,Order Bump,,,ID 6422443
03c4e06b-132b-4599-a4aa-4cf28255dd41,Maquiagem 35+ com Alice Salazar,97 - Principal Orderbump - Lanç Mar 25,,OB1,ID 3807269
03d308f7-f53d-4cd8-b582-6c67f2c703df,Posicionamento Lucrativo: como atrair clientes qualificados e cobrar de R$200 a R$400 por sessão. ,Auto-importado,,,
03fb3308-23f2-4c80-a34a-4ff2e096fc75,Trabalho com Aerógrafo para Doces Finos,Auto-importado,,,
041ad75c-2b03-4f22-a5c6-6967b6ceded6,Combo 5 em 1 Essencial Plus 2.0 Alice Salazar | Boleto Parcelado,Oferta Principal,,,ID 4559167
0466f92d-91a8-45ae-bc64-545d45f036e3,e-Book Lista Secreta de Lojas de Roupas por Alice Salazar,Perpétuo - Instagram,,,ID 4552252
047e5651-1289-448b-9346-3ca79d8498e9,Coleção de Livros Digitais Alice Salazar,Oferta Principal,,,ID 4445568
04e9550e-15c3-4d08-ad25-298e5ad3d06a,Aula Especial de Pele Ultrafix Alice Salazar,"29,90 - Principal Orderbump - Lanç Out 25",,,ID 1528575
04eb5b10-a4e5-49bd-adcf-6d8d82d25d7f,Ebook - Programa Leve em 21 Dias,Oferta Principal,,,ID 4676250
0514f0be-ea28-4c65-a15b-ccff285efaa2,* Make Prática em 13 Minutos,Auto-importado de vendas existentes,,,
059c0b75-ec38-446f-b8b7-01a65eac35ac,Maquiagens para o Calor com Alice Salazar,Auto-importado,,,
063e041c-2655-4a8c-99e0-52ecb2916a83,Posicionamento Lucrativo: como atrair clientes qualificados e cobrar de R$200 a R$400 por sessão. ,Auto-importado,,,
065c58f4-d1f8-4936-8be5-9ceb7a7efd99,Comunidade GetOutside,Auto-importado,,,
0668f3df-c56e-4012-b9ab-92df1b646608,Maquiagem 35+ com Alice Salazar,Importado das vendas,,,
06ab062a-e16a-4117-937b-2f0d21d8c111,Curso de Formação em Coloração Pessoal,Auto-importado de vendas existentes,,,
06dfbb1c-a096-4513-9a0a-2bf9b6fc4a4e,Ebook - O Poder dos 4 Temperamentos No Amor,"29,90 OrderBump do curso OPD4T",,,ID 5021817
07164711-df31-4c66-8ab6-44b03d397e51,Maquiagem para Pele Oleosa com Alice Salazar,Auto-importado de vendas existentes,,,
0760aa33-1cd7-49b3-993f-4755612b376c,DP DESCOMPLICADO,Turma Padrão - Nova,,,ID 1135953
07b6c521-be2e-4ea8-8e8e-58c8d22caeab,Curso O Poder dos Temperamentos - Entenda e Conquiste Pessoas,Oferta Principal,,,ID 4663053
0869ffc2-9dac-4cb6-bdbf-8beb2bf95a0c,Trabalho com Aerógrafo para Doces Finos,"17,90 - Orderbump - GRIFE 3","[11/12/2025] Sincronizado com Hotmart:
Nome: Auto-importado → 17,90 - Orderbump - GRIFE 3",,ID 762920
